|6.6.6
antigorite_1.tab                                                                                    
           1
T(K)    
   0.0000000000000000     
   0.0000000000000000     
          16
           7
T(K)           P(bar)         rho,kg/m3      rho,kg/m3      SIO2,wt%       MGO,wt%        fo,vo%        
  923.150        12761.4        3040.74        1022.12        50.4470        47.7735        59.6619     
  923.150        12771.4        3040.78        1022.31        50.4470        47.7735        59.6622     
  923.150        12781.4        3040.82        1022.51        50.4470        47.7735        59.6625     
  923.150        12791.4        3040.86        1022.71        50.4470        47.7735        59.6628     
  923.150        12801.4        3040.90        1022.91        50.4470        47.7735        59.6631     
  923.150        12811.4        3040.94        1023.11        50.4470        47.7735        59.6634     
  923.150        12821.4        3040.98        1023.30        50.4470        47.7735        59.6637     
  923.150        12831.4        3041.02        1023.50        50.4470        47.7735        59.6639     
  923.150        12841.4        3041.06        1023.70        50.4470        47.7735        59.6642     
  923.150        12851.4        3041.10        1023.90        50.4470        47.7735        59.6645     
  923.150        12861.4        3041.14        1024.09        50.4470        47.7735        59.6648     
  923.150        12871.4        3041.18        1024.29        50.4470        47.7735        59.6651     
  923.150        12881.4        3041.23        1024.49        50.4470        47.7735        59.6654     
  923.150        12891.4        3041.27        1024.68        50.4470        47.7735        59.6657     
  923.150        12901.5        3041.31        1024.88        50.4470        47.7735        59.6660     
  923.150        12911.5        3041.35        1025.08        50.4470        47.7735        59.6663     
  923.150        12921.5        3041.39        1025.27        50.4470        47.7735        59.6666     
  923.150        12931.5        3041.43        1025.47        50.4470        47.7735        59.6669     
  923.150        12941.5        3041.47        1025.66        50.4470        47.7735        59.6672     
  923.150        12951.5        3041.51        1025.86        50.4470        47.7735        59.6674     
  923.150        12961.5        3041.55        1026.06        50.4470        47.7735        59.6677     
  923.150        12971.5        3041.59        1026.25        50.4470        47.7735        59.6680     
  923.150        12981.5        3041.63        1026.45        50.4470        47.7735        59.6683     
  923.150        12991.5        3041.67        1026.64        50.4470        47.7735        59.6686     
  923.150        13001.5        3041.71        1026.84        50.4470        47.7735        59.6689     
  923.150        13011.5        3041.75        1027.03        50.4470        47.7735        59.6692     
  923.150        13021.5        3041.79        1027.23        50.4470        47.7735        59.6695     
  923.150        13031.5        3041.83        1027.42        50.4470        47.7735        59.6698     
  923.150        13041.5        3041.87        1027.62        50.4470        47.7735        59.6701     
  923.150        13051.5        3041.91        1027.81        50.4470        47.7735        59.6704     
  923.150        13061.5        3041.96        1028.01        50.4470        47.7735        59.6706     
  923.150        13071.5        3042.00        1028.20        50.4470        47.7735        59.6709     
  923.150        13081.5        3042.04        1028.39        50.4470        47.7735        59.6712     
  923.150        13091.5        3042.08        1028.59        50.4470        47.7735        59.6715     
